V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41
Comparison213	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1
Comparison214	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2
Comparison215	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2
Comparison216	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1
Comparison217	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2
Comparison218	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2
Comparison219	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1
Comparison220	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp1
Comparison221	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2
Comparison222	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2
Comparison223	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2
Comparison224	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2
Comparison225	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2
Comparison226	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2
Comparison227	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1
Comparison228	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1
Comparison229	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2
Comparison230	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1
Comparison231	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2
Comparison232	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2
Comparison233	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1
Comparison234	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2
Comparison235	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2
Comparison236	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1
Comparison237	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2
Comparison238	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1
Comparison239	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1
Comparison240	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2
Comparison241	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp2
Comparison242	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp2
Comparison243	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp2
Comparison244	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp2
Comparison245	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2
Comparison246	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1
Comparison247	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp1
Comparison248	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp2
Comparison249	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1
Comparison250	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2
Comparison251	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2
Comparison252	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2
Comparison253	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp1
Comparison254	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1
Comparison255	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2
Comparison256	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1
Comparison257	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2
Comparison258	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1
Comparison259	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1
Comparison260	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp1
Comparison261	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1
Comparison262	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp2
Comparison263	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2
Comparison264	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1
Comparison265	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2
Comparison266	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2
Comparison267	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1
Comparison268	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2
Comparison269	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1
Comparison270	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp2
Comparison271	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2
Comparison272	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2
Comparison273	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp1
Comparison274	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1
Comparison275	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp2
Comparison276	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1
Comparison277	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2
Comparison278	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp1
Comparison279	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1
Comparison280	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1
Comparison281	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1
Comparison282	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1
Comparison283	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2
Comparison284	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1
Comparison285	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1
Comparison286	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp1	grp2
Comparison287	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp1
Comparison288	grp2	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp2
Comparison289	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp1	grp2	grp2	grp2
Comparison290	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2	grp2	grp1
Comparison291	grp1	grp2	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp1	grp2	grp2	grp2	grp2
Comparison292	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp2	grp2	grp2	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp2	grp2	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp1	grp1	grp2
Comparison293	grp2	grp2	grp1	grp2	grp1	grp2	grp2	grp1	grp1	grp2	grp1	grp1	grp1	grp2	grp1	grp2	grp1	grp2	grp1	grp1	grp2	grp2	grp1	grp1	grp1	grp1	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp2	grp2	grp2	grp1	grp1	grp1	grp1	grp2
